G3,absences,failures,G1,G2
6,6,0,5,6
6,4,0,5,5
10,10,3,7,8
15,2,0,15,14
10,4,0,6,10
15,10,0,15,15
11,0,0,12,12
6,6,0,6,5
19,0,0,16,18
15,0,0,14,15
9,0,0,10,8
12,4,0,10,12
14,2,0,14,14
11,2,0,10,10
16,0,0,14,16
14,4,0,14,14
14,6,0,13,14
10,4,0,8,10
5,16,3,6,5
10,4,0,8,10
15,0,0,13,14
15,0,0,12,15
16,2,0,15,15
12,0,0,13,13
8,2,0,10,9
8,14,2,6,9
11,2,0,12,12
15,4,0,15,16
11,4,0,11,11
11,16,0,10,12
12,0,0,9,11
17,0,0,17,16
16,0,0,17,16
12,0,0,8,10
15,0,0,12,14
6,0,0,8,7
18,2,0,15,16
15,7,0,15,16
11,2,0,12,12
13,8,0,14,13
11,25,1,7,10
12,8,0,12,12
18,2,0,19,18
11,0,0,8,8
9,14,1,10,10
6,8,0,8,8
11,12,0,11,12
20,4,0,19,19
14,2,0,15,15
7,2,1,7,7
13,2,0,12,13
13,2,0,11,13
10,6,1,11,11
11,0,0,8,10
13,6,0,10,13
10,8,0,8,9
15,0,0,14,15
15,4,0,14,15
9,2,0,9,10
16,2,0,15,16
11,6,0,10,11
11,6,0,10,8
9,4,0,8,10
9,2,0,10,9
10,0,0,10,10
15,2,0,16,15
12,4,0,13,13
6,4,0,7,7
8,2,0,8,9
16,12,0,16,16
15,0,0,13,15
10,0,0,10,10
5,2,2,8,6
14,2,0,12,12
11,54,0,11,12
10,6,0,9,9
10,8,0,11,11
11,0,0,11,11
10,2,3,8,8
5,12,0,5,5
12,2,0,10,12
11,4,0,11,10
6,10,0,7,6
15,4,0,15,15
10,2,0,9,10
8,6,2,7,9
6,4,0,8,7
14,4,0,13,14
10,12,1,11,10
7,18,0,8,6
8,0,0,7,7
18,4,0,16,17
6,4,0,7,6
10,0,0,11,10
14,6,0,11,13
10,2,1,7,10
15,2,0,11,15
10,2,0,8,9
14,6,0,11,14
8,0,0,7,9
5,14,0,7,7
17,0,0,16,17
14,4,0,10,13
6,26,0,7,6
18,0,0,16,18
11,10,0,10,11
8,8,0,7,8
18,2,0,16,18
13,6,0,10,13
16,4,0,14,15
19,6,0,18,19
10,0,1,7,10
13,6,1,10,13
19,10,0,18,19
9,8,0,9,9
16,2,0,15,15
14,2,0,11,13
13,0,0,13,14
8,20,1,9,7
13,6,0,14,13
15,2,0,16,15
15,6,0,16,14
13,2,0,13,13
13,18,0,14,11
8,0,0,8,7
12,0,0,13,13
11,0,0,7,10
9,2,3,7,8
0,0,2,7,4
18,8,0,18,18
0,0,2,12,0
0,0,0,8,0
12,12,0,10,13
11,16,0,12,11
0,0,0,9,0
0,0,0,11,0
0,0,0,10,0
0,0,2,4,0
12,0,1,14,12
15,0,0,16,16
0,0,0,7,9
9,8,2,9,9
11,2,0,9,11
13,2,0,14,14
0,0,3,5,0
11,0,0,8,11
0,0,3,6,7
11,2,0,10,11
0,0,0,7,6
10,0,3,8,9
0,0,3,6,5
14,6,1,12,13
10,8,2,10,10
0,0,3,5,0
12,0,0,11,11
8,2,0,11,8
13,8,0,16,12
10,6,3,9,8
15,2,0,17,15
12,4,1,10,12
0,0,2,7,6
7,6,2,5,9
0,0,1,7,0
10,2,0,10,10
7,0,3,5,8
12,16,1,12,11
10,4,0,10,10
16,0,0,14,15
0,0,0,6,7
14,0,0,14,14
0,0,2,6,5
16,2,0,13,15
10,0,0,13,11
0,0,3,8,7
9,4,0,10,11
9,4,0,10,9
11,2,0,13,13
6,4,0,6,5
9,10,0,10,8
11,4,0,10,10
8,10,0,9,8
12,2,0,12,13
17,0,0,16,17
8,56,0,9,9
12,14,0,12,13
11,12,0,12,12
11,2,0,11,12
15,0,0,15,15
9,6,0,8,7
10,4,0,8,9
13,10,0,11,12
9,0,0,8,8
8,12,0,7,8
10,8,0,8,9
14,0,0,13,14
15,0,0,14,15
16,4,0,17,15
10,8,0,9,9
18,24,1,18,18
10,0,0,9,9
16,2,0,16,16
10,6,0,8,10
10,4,0,9,9
6,18,0,7,6
11,6,0,10,10
9,28,1,10,9
7,5,3,7,7
13,10,0,11,12
10,6,0,9,9
7,6,0,7,7
8,10,0,8,8
13,13,0,12,12
14,0,0,12,13
8,15,1,6,7
10,12,0,8,10
15,2,0,14,15
4,22,2,6,6
8,13,1,6,6
8,3,0,7,7
10,4,0,9,10
6,2,0,6,6
0,0,1,6,5
17,2,0,16,16
13,0,0,12,13
14,0,0,13,13
7,16,1,9,8
15,10,0,16,15
12,2,0,12,11
9,14,0,10,8
12,10,0,12,10
14,14,0,13,13
11,4,0,11,11
9,14,0,11,9
13,2,0,14,13
6,18,0,9,7
10,10,0,11,9
13,4,0,14,13
12,20,0,13,12
11,2,0,13,11
0,0,1,7,7
12,14,0,12,12
12,2,0,10,11
0,0,0,6,0
12,0,0,13,12
0,0,0,7,0
18,6,0,18,18
13,4,0,12,12
8,16,3,6,8
5,8,1,3,5
15,0,0,13,15
8,0,1,6,8
10,6,0,7,10
8,4,1,6,9
8,0,0,8,9
12,0,0,8,12
8,2,1,7,9
13,6,0,14,12
11,12,0,11,11
14,8,0,15,14
0,0,0,10,9
18,21,0,17,18
8,2,0,8,8
12,1,0,13,12
9,4,0,10,9
0,0,0,9,10
17,13,0,17,17
10,2,0,9,9
11,8,0,12,10
10,10,0,10,9
0,0,0,6,0
9,15,2,9,9
14,4,0,15,14
11,2,0,11,11
14,2,0,15,14
10,2,0,10,10
12,6,0,12,12
9,75,0,10,9
9,22,0,9,9
8,15,1,9,8
10,8,0,10,11
8,30,0,8,8
10,19,1,11,9
12,1,0,12,12
10,4,0,8,9
11,4,0,10,9
11,2,0,12,10
19,5,0,18,18
12,6,0,13,12
14,6,0,15,14
15,9,0,15,13
11,11,0,12,11
15,0,0,15,15
13,12,1,12,12
18,6,0,18,18
14,8,0,14,13
11,4,0,14,12
0,0,0,10,9
8,10,0,10,8
14,0,0,14,13
16,5,0,16,15
